[2025-01-02 00:55:43,535: INFO: 3628025189: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-02 00:55:50,986: INFO: 3628025189: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-02 20:53:26,171: INFO: main: Welcome to our custom log]
[2025-01-03 01:28:53,309: INFO: main: >>>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-01-03 01:28:53,327: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-03 01:28:53,329: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-03 01:28:53,331: INFO: common: created directory at: artifacts]
[2025-01-03 01:28:53,332: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-03 01:28:53,333: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-03 01:29:01,048: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-03 01:29:02,993: INFO: main: >>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-03 01:29:38,198: INFO: main: >>>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-01-03 01:29:38,203: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-03 01:29:38,205: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-03 01:29:38,206: INFO: common: created directory at: artifacts]
[2025-01-03 01:29:38,206: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-03 01:29:38,206: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-03 01:29:44,691: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-03 01:29:46,064: INFO: main: >>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-03 01:44:40,732: INFO: main: >>>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-01-03 01:44:40,744: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-03 01:44:40,754: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-03 01:44:40,762: INFO: common: created directory at: artifacts]
[2025-01-03 01:44:40,763: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-03 01:44:40,768: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-03 01:44:47,227: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-03 01:44:48,393: INFO: main: >>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-04 20:56:00,870: INFO: main: >>>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-01-04 20:56:00,875: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 20:56:00,876: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 20:56:00,876: INFO: common: created directory at: artifacts]
[2025-01-04 20:56:00,877: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-04 20:56:00,877: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-04 20:56:09,804: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-04 20:56:10,887: INFO: main: >>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-04 22:01:40,618: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:01:40,865: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:01:40,956: INFO: common: created directory at: artifacts]
[2025-01-04 22:04:32,967: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:04:32,993: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:04:33,002: INFO: common: created directory at: artifacts]
[2025-01-04 22:05:13,938: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:05:13,992: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:05:14,013: INFO: common: created directory at: artifacts]
[2025-01-04 22:06:37,346: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:06:37,376: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:06:37,489: INFO: common: created directory at: artifacts]
[2025-01-04 22:06:37,498: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:08:34,369: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:08:34,393: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:08:34,400: INFO: common: created directory at: artifacts]
[2025-01-04 22:08:34,416: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:12:37,302: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:12:37,343: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:12:37,371: INFO: common: created directory at: artifacts]
[2025-01-04 22:12:37,374: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:13:32,327: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:13:32,406: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:13:32,421: INFO: common: created directory at: artifacts]
[2025-01-04 22:13:32,429: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:16:29,747: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:16:29,856: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:16:29,872: INFO: common: created directory at: artifacts]
[2025-01-04 22:16:29,881: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:20:13,822: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:20:13,886: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:20:13,904: INFO: common: created directory at: artifacts]
[2025-01-04 22:20:13,914: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:23:07,469: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:23:07,488: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:23:07,501: INFO: common: created directory at: artifacts]
[2025-01-04 22:23:07,506: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:26:06,289: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:26:06,339: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:26:06,350: INFO: common: created directory at: artifacts]
[2025-01-04 22:26:06,363: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:26:20,636: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-01-04 22:29:20,972: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:29:21,078: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:29:21,095: INFO: common: created directory at: artifacts]
[2025-01-04 22:29:21,115: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:29:26,140: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-01-04 22:31:35,667: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:31:35,762: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:31:35,766: INFO: common: created directory at: artifacts]
[2025-01-04 22:31:35,769: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:31:37,416: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-01-04 22:37:09,481: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:37:09,533: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:37:09,547: INFO: common: created directory at: artifacts]
[2025-01-04 22:37:09,574: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:37:13,051: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-01-04 22:38:31,273: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:38:31,288: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:38:31,299: INFO: common: created directory at: artifacts]
[2025-01-04 22:38:31,312: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:38:34,096: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-01-04 22:39:37,593: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:39:37,713: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:39:37,730: INFO: common: created directory at: artifacts]
[2025-01-04 22:39:37,737: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 22:39:39,109: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-01-04 22:44:13,237: INFO: main: >>>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-01-04 22:44:13,244: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 22:44:13,249: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 22:44:13,249: INFO: common: created directory at: artifacts]
[2025-01-04 22:44:13,250: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-04 22:44:13,250: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-04 22:44:23,877: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-04 22:44:25,596: INFO: main: >>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-04 23:13:29,801: INFO: main: >>>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-01-04 23:13:29,805: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 23:13:29,816: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 23:13:29,820: INFO: common: created directory at: artifacts]
[2025-01-04 23:13:29,820: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-04 23:13:29,821: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-04 23:13:35,633: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-04 23:13:37,608: INFO: main: >>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-04 23:13:37,609: INFO: main: *******************]
[2025-01-04 23:13:37,609: INFO: main: >>>>>>> stage Prepare base model started <<<<<<<]
[2025-01-04 23:13:37,621: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-04 23:13:37,636: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-04 23:13:37,637: INFO: common: created directory at: artifacts]
[2025-01-04 23:13:37,637: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-01-04 23:13:39,696: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-01-04 23:13:41,112: INFO: main: >>>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2025-01-05 12:34:12,838: INFO: main: >>>>>>> stage Data Ingestion stage started <<<<<<<]
[2025-01-05 12:34:12,845: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-01-05 12:34:12,855: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-05 12:34:12,859: INFO: common: created directory at: artifacts]
[2025-01-05 12:34:12,860: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-05 12:34:12,860: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-05 12:34:20,754: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
